id;street_address;postal_code;city;state_province
1;saturate alluvium;aside whereas monthly;Antioch;meanwhile
2;exhibit hastily off;influx;North Joany;stacking phew
3;whereas sonnet champion;snowman ick;West Covina;upright as bruise
4;furthermore;although;South Arleneton;worth
5;yet forget;unlike nippy;Scottieburgh;stipulate gorgeous
6;bah unkempt;succotash viciously foolishly;Cameronboro;even
7;plus;geez consulting;Rancho Cucamonga;randomisation ha
8;since geez furiously;finally provided failing;Ambroseton;keystone lively ugh
9;who synchronize;piggyback;Abernathystad;thorny
10;little;close;Port Henderson;without
